ESTADO;CANTIDAD;PERIODO;DELEGACION
ALTAS;4;01-2018;LABOULAYE 0557                
ALTAS;26;02-2018;RIO CUARTO 0546               
ALTAS;8;03-2018;LABOULAYE 0557                
ALTAS;5;03-2018;CORRAL DE BUSTOS 0553         
ALTAS;4;04-2018;ONCATIVO 0560                 
ALTAS;3;05-2018;CRUZ DEL EJE 0541             
ALTAS;10;06-2018;RIO TERCERO 0547              
ALTAS;18;07-2018;VILLA MARIA 0550              
ALTAS;35;07-2018;RIO CUARTO 0546               
ALTAS;25;01-2018;VILLA CARLOS PAZ 0561         
ALTAS;4;02-2018;HUINCA RENANCO 0555           
ALTAS;10;03-2018;LA FALDA 0544                 
ALTAS;3;04-2018;LA FALDA 0544                 
ALTAS;5;03-2018;MONTE BUEY 0001               
ALTAS;15;03-2018;RIO TERCERO 0547              
ALTAS;3;06-2018;LA CARLOTA 0556               
ALTAS;9;07-2018;BELL VILLE 0540               
ALTAS;2;07-2018;HUINCA RENANCO 0555           
ALTAS;6;08-2018;MARCOS JUAREZ 0545            
ALTAS;6;08-2018;VILLA CARLOS PAZ 0561         
ALTAS;6;02-2018;VILLA DOLORES 0549            
ALTAS;2;02-2018;LAS VARILLAS 0559             
ALTAS;2;02-2018;DEAN FUNES 0542               
ALTAS;6;04-2018;CRUZ DEL EJE 0541             
ALTAS;5;05-2018;HUINCA RENANCO 0555           
ALTAS;2;06-2018;LAS VARILLAS 0559             
ALTAS;12;06-2018;BELL VILLE 0540               
ALTAS;2;08-2018;MONTE BUEY 0001               
ALTAS;7;08-2018;BELL VILLE 0540               
ALTAS;2;02-2018;BELL VILLE 0540               
ALTAS;1;07-2018;MARCOS JUAREZ 0545            
ALTAS;135;01-2018;CORDOBA 0472                  
ALTAS;15;01-2018;JESUS MARIA 0543              
ALTAS;10;03-2018;MARCOS JUAREZ 0545            
ALTAS;14;03-2018;JESUS MARIA 0543              
ALTAS;16;06-2018;VILLA CARLOS PAZ 0561         
ALTAS;12;06-2018;SAN FRANCISCO 0548            
ALTAS;5;07-2018;CORRAL DE BUSTOS 0553         
ALTAS;4;07-2018;ARROYITO 0552                 
ALTAS;3;02-2018;GENERAL CABRERA 0554          
ALTAS;6;06-2018;VILLA DOLORES 0549            
ALTAS;2;07-2018;ONCATIVO 0560                 
ALTAS;26;01-2018;VILLA MARIA 0550              
ALTAS;3;04-2018;LABOULAYE 0557                
ALTAS;16;03-2018;ALTA GRACIA 0551              
ALTAS;6;06-2018;HUINCA RENANCO 0555           
ALTAS;2;01-2018;LAS VARILLAS 0559             
ALTAS;4;03-2018;DEAN FUNES 0542               
ALTAS;7;04-2018;VILLA DOLORES 0549            
ALTAS;1;08-2018;ONCATIVO 0560                 
ALTAS;1;08-2018;LAS VARILLAS 0559             
ALTAS;22;02-2018;RIO TERCERO 0547              
ALTAS;5;04-2018;CORRAL DE BUSTOS 0553         
ALTAS;428;04-2018;CORDOBA 0472                  
ALTAS;18;04-2018;SAN FRANCISCO 0548            
ALTAS;11;04-2018;JESUS MARIA 0543              
ALTAS;9;05-2018;RIO SEGUNDO 0704
ALTAS;35;06-2018;VILLA MARIA 0550              
ALTAS;4;07-2018;LAS VARILLAS 0559             
ALTAS;5;07-2018;JESUS MARIA 0543              
ALTAS;8;02-2018;ARROYITO 0552                 
ALTAS;26;05-2018;RIO TERCERO 0547              
ALTAS;2;06-2018;CORRAL DE BUSTOS 0553         
ALTAS;12;04-2018;RIO SEGUNDO 0704
ALTAS;15;05-2018;SAN FRANCISCO 0548            
ALTAS;6;01-2018;SAN FRANCISCO 0548            
ALTAS;2;07-2018;DEAN FUNES 0542               
ALTAS;6;07-2018;LA FALDA 0544                 
ALTAS;3;02-2018;LABOULAYE 0557                
ALTAS;6;03-2018;RIO SEGUNDO 0704
ALTAS;6;03-2018;ONCATIVO 0560                 
ALTAS;2;05-2018;DEAN FUNES 0542               
ALTAS;12;01-2018;ALTA GRACIA 0551              
ALTAS;12;02-2018;JESUS MARIA 0543              
ALTAS;39;03-2018;SAN FRANCISCO 0548            
ALTAS;54;04-2018;RIO CUARTO 0546               
ALTAS;34;04-2018;VILLA MARIA 0550              
ALTAS;5;06-2018;LABOULAYE 0557                
ALTAS;6;07-2018;RIO SEGUNDO 0704
ALTAS;214;08-2018;CORDOBA 0472                  
ALTAS;35;01-2018;VILLA DOLORES 0549            
ALTAS;35;01-2018;LA FALDA 0544                 
ALTAS;10;05-2018;ARROYITO 0552                 
ALTAS;5;06-2018;LA FALDA 0544                 
ALTAS;20;08-2018;RIO TERCERO 0547              
ALTAS;3;03-2018;GENERAL CABRERA 0554          
ALTAS;7;04-2018;MARCOS JUAREZ 0545            
ALTAS;11;05-2018;JESUS MARIA 0543              
ALTAS;8;08-2018;VILLA DOLORES 0549            
ALTAS;4;01-2018;RIO SEGUNDO 0704
ALTAS;9;02-2018;LA FALDA 0544                 
ALTAS;5;05-2018;ONCATIVO 0560                 
ALTAS;2;06-2018;MARCOS JUAREZ 0545            
ALTAS;4;01-2018;ARROYITO 0552                 
ALTAS;1;08-2018;CORRAL DE BUSTOS 0553         
ALTAS;110;03-2018;RIO CUARTO 0546               
ALTAS;271;05-2018;CORDOBA 0472                  
ALTAS;190;07-2018;CORDOBA 0472                  
ALTAS;8;07-2018;VILLA CARLOS PAZ 0561         
ALTAS;28;08-2018;VILLA MARIA 0550              
ALTAS;47;01-2018;RIO TERCERO 0547              
ALTAS;8;05-2018;MARCOS JUAREZ 0545            
ALTAS;8;03-2018;HUINCA RENANCO 0555           
ALTAS;19;07-2018;RIO TERCERO 0547              
ALTAS;2;01-2018;MARCOS JUAREZ 0545            
ALTAS;8;02-2018;RIO SEGUNDO 0704
ALTAS;10;02-2018;ALTA GRACIA 0551              
ALTAS;2;04-2018;VILLA CARLOS PAZ 0561         
ALTAS;6;06-2018;ARROYITO 0552                 
ALTAS;3;01-2018;BELL VILLE 0540               
ALTAS;4;02-2018;SAN FRANCISCO 0548            
ALTAS;10;03-2018;LAS VARILLAS 0559             
ALTAS;3;04-2018;DEAN FUNES 0542               
ALTAS;3;04-2018;LAS VARILLAS 0559             
ALTAS;4;05-2018;VILLA DOLORES 0549            
ALTAS;5;06-2018;ONCATIVO 0560                 
ALTAS;1;07-2018;MONTE BUEY 0001               
ALTAS;5;08-2018;ARROYITO 0552                 
ALTAS;2;08-2018;CRUZ DEL EJE 0541             
ALTAS;144;02-2018;CORDOBA 0472                  
ALTAS;23;02-2018;VILLA MARIA 0550              
ALTAS;11;03-2018;VILLA DOLORES 0549            
ALTAS;25;03-2018;ARROYITO 0552                 
ALTAS;55;05-2018;VILLA MARIA 0550              
ALTAS;46;05-2018;RIO CUARTO 0546               
ALTAS;2;07-2018;CRUZ DEL EJE 0541             
ALTAS;7;08-2018;LA FALDA 0544                 
ALTAS;5;08-2018;JESUS MARIA 0543              
ALTAS;6;05-2018;GENERAL CABRERA 0554          
ALTAS;21;05-2018;LA CARLOTA 0556               
ALTAS;6;02-2018;VILLA CARLOS PAZ 0561         
ALTAS;9;05-2018;BELL VILLE 0540               
ALTAS;12;08-2018;ALTA GRACIA 0551              
ALTAS;3;02-2018;ONCATIVO 0560                 
ALTAS;1;01-2018;HUINCA RENANCO 0555           
ALTAS;7;04-2018;LA CARLOTA 0556               
ALTAS;1;06-2018;JESUS MARIA 0543              
ALTAS;3;07-2018;LA CARLOTA 0556               
ALTAS;4;07-2018;VILLA DOLORES 0549            
ALTAS;357;03-2018;CORDOBA 0472                  
ALTAS;37;03-2018;VILLA MARIA 0550              
ALTAS;12;04-2018;ALTA GRACIA 0551              
ALTAS;23;04-2018;RIO TERCERO 0547              
ALTAS;216;06-2018;CORDOBA 0472                  
ALTAS;32;06-2018;RIO CUARTO 0546               
ALTAS;3;06-2018;GENERAL CABRERA 0554          
ALTAS;8;07-2018;ALTA GRACIA 0551              
ALTAS;4;07-2018;GENERAL CABRERA 0554          
ALTAS;25;08-2018;RIO CUARTO 0546               
ALTAS;2;08-2018;LA CARLOTA 0556               
ALTAS;7;05-2018;LA FALDA 0544                 
ALTAS;6;02-2018;MARCOS JUAREZ 0545            
ALTAS;7;04-2018;ARROYITO 0552                 
ALTAS;13;05-2018;ALTA GRACIA 0551              
ALTAS;4;05-2018;VILLA CARLOS PAZ 0561         
ALTAS;3;06-2018;RIO SEGUNDO 0704
ALTAS;7;08-2018;SAN FRANCISCO 0548            
ALTAS;2;02-2018;CORRAL DE BUSTOS 0553         
ALTAS;3;02-2018;LA CARLOTA 0556               
ALTAS;4;04-2018;GENERAL CABRERA 0554          
ALTAS;7;04-2018;HUINCA RENANCO 0555           
ALTAS;2;05-2018;LABOULAYE 0557                
ALTAS;4;05-2018;MONTE BUEY 0001               
ALTAS;2;06-2018;MONTE BUEY 0001               
ALTAS;9;07-2018;SAN FRANCISCO 0548            
ALTAS;2;08-2018;HUINCA RENANCO 0555           
ALTAS;22;01-2018;RIO CUARTO 0546               
ALTAS;19;03-2018;BELL VILLE 0540               
ALTAS;9;03-2018;LA CARLOTA 0556               
ALTAS;4;05-2018;CORRAL DE BUSTOS 0553         
ALTAS;6;06-2018;ALTA GRACIA 0551              
ALTAS;8;07-2018;LABOULAYE 0557                
ALTAS;14;04-2018;BELL VILLE 0540               
ALTAS;13;08-2018;RIO SEGUNDO 0704
ALTAS;2;06-2018;DEAN FUNES 0542               
ALTAS;6;01-2018;LA CARLOTA 0556               
ALTAS;1;02-2018;MONTE BUEY 0001               
ALTAS;5;03-2018;VILLA CARLOS PAZ 0561         
ALTAS;1;03-2018;CRUZ DEL EJE 0541             
BAJAS;-1;03-2018;LABOULAYE 0557                
BAJAS;-13;07-2018;VILLA MARIA 0550              
BAJAS;-3;06-2018;RIO TERCERO 0547              
BAJAS;-2;07-2018;BELL VILLE 0540               
BAJAS;-1;03-2018;RIO TERCERO 0547              
BAJAS;-1;01-2018;VILLA CARLOS PAZ 0561         
BAJAS;-1;08-2018;VILLA CARLOS PAZ 0561         
BAJAS;-1;04-2018;ONCATIVO 0560                 
BAJAS;-9;01-2018;CORDOBA 0472                  
BAJAS;-1;01-2018;VILLA MARIA 0550              
BAJAS;-2;03-2018;ALTA GRACIA 0551              
BAJAS;-1;03-2018;DEAN FUNES 0542               
BAJAS;-1;06-2018;VILLA DOLORES 0549            
BAJAS;-1;07-2018;ARROYITO 0552                 
BAJAS;-105;04-2018;CORDOBA 0472                  
BAJAS;-27;06-2018;VILLA MARIA 0550              
BAJAS;-2;04-2018;JESUS MARIA 0543              
BAJAS;-1;05-2018;RIO SEGUNDO 0704
BAJAS;-5;05-2018;RIO TERCERO 0547              
BAJAS;-2;02-2018;RIO TERCERO 0547              
BAJAS;-1;02-2018;ARROYITO 0552                 
BAJAS;-1;03-2018;ONCATIVO 0560                 
BAJAS;-33;08-2018;CORDOBA 0472                  
BAJAS;-1;05-2018;ARROYITO 0552                 
BAJAS;-1;07-2018;RIO SEGUNDO 0704
BAJAS;-10;04-2018;VILLA MARIA 0550              
BAJAS;-3;08-2018;RIO TERCERO 0547              
BAJAS;-2;04-2018;RIO CUARTO 0546               
BAJAS;-1;01-2018;ALTA GRACIA 0551              
BAJAS;-5;08-2018;VILLA MARIA 0550              
BAJAS;-52;07-2018;CORDOBA 0472                  
BAJAS;-33;05-2018;CORDOBA 0472                  
BAJAS;-1;01-2018;RIO TERCERO 0547              
BAJAS;-2;06-2018;ONCATIVO 0560                 
BAJAS;-1;05-2018;MARCOS JUAREZ 0545            
BAJAS;-2;02-2018;ALTA GRACIA 0551              
BAJAS;-1;03-2018;RIO CUARTO 0546               
BAJAS;-16;02-2018;VILLA MARIA 0550              
BAJAS;-7;08-2018;ALTA GRACIA 0551              
BAJAS;-37;02-2018;CORDOBA 0472                  
BAJAS;-2;05-2018;VILLA MARIA 0550              
BAJAS;-2;04-2018;LA CARLOTA 0556               
BAJAS;-1;05-2018;BELL VILLE 0540               
BAJAS;-1;07-2018;LA CARLOTA 0556               
BAJAS;-2;01-2018;HUINCA RENANCO 0555           
BAJAS;-1;04-2018;ARROYITO 0552                 
BAJAS;-75;06-2018;CORDOBA 0472                  
BAJAS;-39;03-2018;CORDOBA 0472                  
BAJAS;-11;04-2018;ALTA GRACIA 0551              
BAJAS;-23;03-2018;VILLA MARIA 0550              
BAJAS;-1;05-2018;ALTA GRACIA 0551              
BAJAS;-3;04-2018;RIO TERCERO 0547              
BAJAS;-4;07-2018;ALTA GRACIA 0551              
BAJAS;-1;05-2018;LABOULAYE 0557                
BAJAS;-2;05-2018;VILLA CARLOS PAZ 0561         
BAJAS;-18;06-2018;ALTA GRACIA 0551              
BAJAS;-1;07-2018;LABOULAYE 0557                
BAJAS;-1;01-2018;ONCATIVO 0560                 
BAJAS;-2;03-2018;LA CARLOTA 0556               
BAJAS;-1;04-2018;BELL VILLE 0540               
BAJAS;0;01-2018;ARROYITO 0552                 
BAJAS;0;03-2018;ARROYITO 0552                 
BAJAS;0;06-2018;ARROYITO 0552                 
BAJAS;0;08-2018;ARROYITO 0552                 
BAJAS;0;01-2018;BELL VILLE 0540               
BAJAS;0;02-2018;BELL VILLE 0540               
BAJAS;0;03-2018;BELL VILLE 0540               
BAJAS;0;06-2018;BELL VILLE 0540               
BAJAS;0;08-2018;BELL VILLE 0540               
ALTAS;0;01-2018;CORRAL DE BUSTOS 0553         
BAJAS;0;01-2018;CORRAL DE BUSTOS 0553         
BAJAS;0;02-2018;CORRAL DE BUSTOS 0553         
BAJAS;0;03-2018;CORRAL DE BUSTOS 0553         
BAJAS;0;04-2018;CORRAL DE BUSTOS 0553         
BAJAS;0;05-2018;CORRAL DE BUSTOS 0553         
BAJAS;0;06-2018;CORRAL DE BUSTOS 0553         
BAJAS;0;07-2018;CORRAL DE BUSTOS 0553         
BAJAS;0;08-2018;CORRAL DE BUSTOS 0553         
ALTAS;0;01-2018;CRUZ DEL EJE 0541             
BAJAS;0;01-2018;CRUZ DEL EJE 0541             
ALTAS;0;02-2018;CRUZ DEL EJE 0541             
BAJAS;0;02-2018;CRUZ DEL EJE 0541             
BAJAS;0;03-2018;CRUZ DEL EJE 0541             
BAJAS;0;04-2018;CRUZ DEL EJE 0541             
BAJAS;0;05-2018;CRUZ DEL EJE 0541             
BAJAS;0;07-2018;CRUZ DEL EJE 0541             
BAJAS;0;08-2018;CRUZ DEL EJE 0541             
ALTAS;0;06-2018;CRUZ DEL EJE 0541             
BAJAS;0;06-2018;CRUZ DEL EJE 0541             
ALTAS;0;01-2018;DEAN FUNES 0542               
BAJAS;0;01-2018;DEAN FUNES 0542               
BAJAS;0;02-2018;DEAN FUNES 0542               
BAJAS;0;04-2018;DEAN FUNES 0542               
BAJAS;0;05-2018;DEAN FUNES 0542               
BAJAS;0;06-2018;DEAN FUNES 0542               
BAJAS;0;07-2018;DEAN FUNES 0542               
ALTAS;0;08-2018;DEAN FUNES 0542               
BAJAS;0;08-2018;DEAN FUNES 0542               
ALTAS;0;01-2018;GENERAL CABRERA 0554          
BAJAS;0;01-2018;GENERAL CABRERA 0554          
BAJAS;0;02-2018;GENERAL CABRERA 0554          
BAJAS;0;03-2018;GENERAL CABRERA 0554          
BAJAS;0;04-2018;GENERAL CABRERA 0554          
BAJAS;0;05-2018;GENERAL CABRERA 0554          
BAJAS;0;06-2018;GENERAL CABRERA 0554          
BAJAS;0;07-2018;GENERAL CABRERA 0554          
ALTAS;0;08-2018;GENERAL CABRERA 0554          
BAJAS;0;08-2018;GENERAL CABRERA 0554          
BAJAS;0;02-2018;HUINCA RENANCO 0555           
BAJAS;0;03-2018;HUINCA RENANCO 0555           
BAJAS;0;04-2018;HUINCA RENANCO 0555           
BAJAS;0;05-2018;HUINCA RENANCO 0555           
BAJAS;0;06-2018;HUINCA RENANCO 0555           
BAJAS;0;07-2018;HUINCA RENANCO 0555           
BAJAS;0;08-2018;HUINCA RENANCO 0555           
BAJAS;0;01-2018;JESUS MARIA 0543              
BAJAS;0;02-2018;JESUS MARIA 0543              
BAJAS;0;03-2018;JESUS MARIA 0543              
BAJAS;0;05-2018;JESUS MARIA 0543              
BAJAS;0;06-2018;JESUS MARIA 0543              
BAJAS;0;07-2018;JESUS MARIA 0543              
BAJAS;0;08-2018;JESUS MARIA 0543              
BAJAS;0;01-2018;LA CARLOTA 0556               
BAJAS;0;02-2018;LA CARLOTA 0556               
